event_id,start_time,end_time,points,max_value,min_value,mean_value,max_abs_z,duration_minutes
0,2021-01-14 15:15:00,2021-01-14 15:30:00,2,705.7,698.11,701.905,,30.0
1,2021-01-14 16:15:00,2021-01-14 16:30:00,2,731.81,728.11,729.96,,30.0
2,2021-01-21 06:15:00,2021-01-21 06:15:00,1,810.1,810.1,810.1,,15.0
3,2021-01-21 06:45:00,2021-01-21 06:45:00,1,814.85,814.85,814.85,,15.0
4,2021-01-21 08:45:00,2021-01-21 08:45:00,1,820.18,820.18,820.18,,15.0
5,2021-01-21 10:45:00,2021-01-21 12:00:00,6,1045.49,842.11,932.68,,90.0
6,2021-01-21 12:45:00,2021-01-21 13:15:00,3,877.199999999999,746.64,824.273333333333,,45.0
7,2021-01-21 14:15:00,2021-01-21 14:15:00,1,908.88,908.88,908.88,,15.0
8,2021-01-21 16:45:00,2021-01-21 16:45:00,1,740.83,740.83,740.83,,15.0
9,2021-01-21 18:15:00,2021-01-21 18:15:00,1,900.43,900.43,900.43,,15.0
10,2021-01-21 18:45:00,2021-01-21 18:45:00,1,932.21,932.21,932.21,,15.0
11,2021-01-21 20:45:00,2021-01-21 20:45:00,1,723.6,723.6,723.6,,15.0
12,2021-01-24 17:45:00,2021-01-24 18:15:00,3,806.16,303.12,562.033333333333,,45.0
13,2021-01-24 18:45:00,2021-01-24 18:45:00,1,759.79,759.79,759.79,,15.0
14,2021-01-24 19:45:00,2021-01-24 19:45:00,1,776.88,776.88,776.88,,15.0
15,2021-01-24 20:45:00,2021-01-24 20:45:00,1,783.5,783.5,783.5,,15.0
16,2021-02-24 08:00:00,2021-02-24 08:00:00,1,858.53,858.53,858.53,,15.0
17,2021-02-24 14:15:00,2021-02-24 14:15:00,1,855.55,855.55,855.55,,15.0
18,2021-02-24 16:45:00,2021-02-24 16:45:00,1,610.08,610.08,610.08,,15.0
19,2021-02-24 21:30:00,2021-02-24 21:30:00,1,676.939999999999,676.939999999999,676.939999999999,,15.0
20,2021-02-25 01:30:00,2021-02-25 01:45:00,2,933.219999999999,922.8,928.0099999999995,,30.0
21,2021-02-25 02:15:00,2021-02-25 02:15:00,1,897.12,897.12,897.12,,15.0
22,2021-02-25 03:15:00,2021-02-25 03:15:00,1,821.09,821.09,821.09,,15.0
23,2021-02-25 04:15:00,2021-02-25 04:45:00,3,725.04,606.34,653.73,,45.0
24,2021-02-25 05:15:00,2021-02-25 05:15:00,1,797.38,797.38,797.38,,15.0
25,2021-02-25 08:30:00,2021-02-25 09:00:00,3,923.81,897.36,910.56,,45.0
26,2021-02-25 11:00:00,2021-02-25 11:15:00,2,687.46,669.55,678.505,,30.0
27,2021-02-25 12:00:00,2021-02-25 12:15:00,2,943.49,830.59,887.04,,30.0
28,2021-02-25 13:00:00,2021-02-25 13:00:00,1,916.219999999999,916.219999999999,916.219999999999,,15.0
29,2021-02-25 13:30:00,2021-02-25 13:30:00,1,904.9,904.9,904.9,,15.0
30,2021-02-25 14:00:00,2021-02-25 14:15:00,2,786.53,764.59,775.56,,30.0
31,2021-02-25 15:30:00,2021-02-25 15:30:00,1,894.14,894.14,894.14,,15.0
32,2021-02-25 16:00:00,2021-02-25 16:00:00,1,878.02,878.02,878.02,,15.0
33,2021-02-25 18:00:00,2021-02-25 18:00:00,1,614.26,614.26,614.26,,15.0
34,2021-02-25 18:45:00,2021-02-25 19:00:00,2,945.84,894.72,920.28,,30.0
35,2021-02-25 19:30:00,2021-02-25 19:30:00,1,879.07,879.07,879.07,,15.0
36,2021-02-25 20:00:00,2021-02-25 20:00:00,1,885.12,885.12,885.12,,15.0
37,2021-02-25 20:30:00,2021-02-25 20:30:00,1,853.34,853.34,853.34,,15.0
38,2021-02-25 21:00:00,2021-02-25 21:00:00,1,903.5,903.5,903.5,,15.0
39,2021-02-25 21:30:00,2021-02-25 21:30:00,1,635.86,635.86,635.86,,15.0
40,2021-02-25 22:30:00,2021-02-25 22:30:00,1,860.93,860.93,860.93,,15.0
41,2021-02-25 23:00:00,2021-02-25 23:00:00,1,862.7,862.7,862.7,,15.0
42,2021-02-26 00:00:00,2021-02-26 00:00:00,1,886.18,886.18,886.18,,15.0
43,2021-02-26 01:00:00,2021-02-26 01:00:00,1,633.89,633.89,633.89,,15.0
44,2021-02-26 02:00:00,2021-02-26 02:00:00,1,785.95,785.95,785.95,,15.0
45,2021-02-26 06:30:00,2021-02-26 07:30:00,5,856.85,592.27,726.0859999999998,,75.0
46,2021-02-26 08:00:00,2021-02-26 08:00:00,1,830.59,830.59,830.59,,15.0
47,2021-02-26 10:00:00,2021-02-26 10:00:00,1,598.03,598.03,598.03,,15.0
48,2021-02-26 17:00:00,2021-02-26 17:00:00,1,572.109999999999,572.109999999999,572.109999999999,,15.0
49,2021-02-26 20:15:00,2021-02-26 20:15:00,1,527.04,527.04,527.04,,15.0
50,2021-02-26 21:15:00,2021-02-26 21:15:00,1,784.37,784.37,784.37,,15.0
51,2021-02-26 23:45:00,2021-02-26 23:45:00,1,500.35,500.35,500.35,,15.0
52,2021-02-27 00:30:00,2021-02-27 00:45:00,2,778.32,730.66,754.49,,30.0
53,2021-02-27 01:15:00,2021-02-27 01:15:00,1,765.17,765.17,765.17,,15.0
54,2021-02-27 02:15:00,2021-02-27 02:15:00,1,741.26,741.26,741.26,,15.0
55,2021-02-27 03:15:00,2021-02-27 03:15:00,1,485.71,485.71,485.71,,15.0
56,2021-02-27 04:15:00,2021-02-27 04:15:00,1,746.02,746.02,746.02,,15.0
57,2021-02-27 04:45:00,2021-02-27 04:45:00,1,775.78,775.78,775.78,,15.0
58,2021-02-27 05:15:00,2021-02-27 05:15:00,1,749.33,749.33,749.33,,15.0
59,2021-02-27 06:45:00,2021-02-27 07:15:00,3,602.16,526.03,574.3366666666662,,45.0
60,2021-02-27 07:45:00,2021-02-27 08:00:00,2,669.89,638.21,654.05,,30.0
61,2021-02-27 08:45:00,2021-02-27 08:45:00,1,641.18,641.18,641.18,,15.0
62,2021-02-27 11:00:00,2021-02-27 11:30:00,3,775.54,708.77,747.9866666666667,,45.0
63,2021-02-27 13:30:00,2021-02-27 13:30:00,1,548.98,548.98,548.98,,15.0
64,2021-02-27 14:30:00,2021-02-27 14:30:00,1,738.0,738.0,738.0,,15.0
65,2021-02-27 15:00:00,2021-02-27 15:00:00,1,717.84,717.84,717.84,,15.0
66,2021-02-27 17:00:00,2021-02-27 17:00:00,1,481.97,481.97,481.97,,15.0
67,2021-02-27 19:00:00,2021-02-27 19:00:00,1,719.38,719.38,719.38,,15.0
68,2021-02-27 21:00:00,2021-02-27 21:00:00,1,516.72,516.72,516.72,,15.0
69,2021-02-27 21:45:00,2021-02-27 22:00:00,2,815.09,721.87,768.48,,30.0
